A | epoch   1 |    10/   53 batches | lr 0.001000 | 151.94 ms | loss 0.09771 | ppl     1.10
A | epoch   1 |    20/   53 batches | lr 0.001000 |  4.00 ms | loss 0.03253 | ppl     1.03
A | epoch   1 |    30/   53 batches | lr 0.001000 |  5.26 ms | loss 0.06045 | ppl     1.06
A | epoch   1 |    40/   53 batches | lr 0.001000 |  4.55 ms | loss 0.05911 | ppl     1.06
A | epoch   1 |    50/   53 batches | lr 0.001000 |  4.44 ms | loss 0.05662 | ppl     1.06
B | epoch   1 |    10/   53 batches | lr 0.001000 |  5.81 ms | loss 0.06889 | ppl     1.07
B | epoch   1 |    20/   53 batches | lr 0.001000 |  4.78 ms | loss 0.02979 | ppl     1.03
B | epoch   1 |    30/   53 batches | lr 0.001000 |  5.03 ms | loss 0.05667 | ppl     1.06
B | epoch   1 |    40/   53 batches | lr 0.001000 |  4.92 ms | loss 0.05275 | ppl     1.05
B | epoch   1 |    50/   53 batches | lr 0.001000 |  4.82 ms | loss 0.04795 | ppl     1.05
C | epoch   1 |    10/   53 batches | lr 0.001000 |  6.47 ms | loss 0.09806 | ppl     1.10
C | epoch   1 |    20/   53 batches | lr 0.001000 |  4.45 ms | loss 0.02736 | ppl     1.03
C | epoch   1 |    30/   53 batches | lr 0.001000 |  5.00 ms | loss 0.02961 | ppl     1.03
C | epoch   1 |    40/   53 batches | lr 0.001000 |  4.76 ms | loss 0.02391 | ppl     1.02
C | epoch   1 |    50/   53 batches | lr 0.001000 |  4.92 ms | loss 0.04665 | ppl     1.05
D | epoch   1 |    10/   53 batches | lr 0.001000 |  5.95 ms | loss 0.10117 | ppl     1.11
D | epoch   1 |    20/   53 batches | lr 0.001000 |  4.90 ms | loss 0.03290 | ppl     1.03
D | epoch   1 |    30/   53 batches | lr 0.001000 |  5.24 ms | loss 0.05970 | ppl     1.06
D | epoch   1 |    40/   53 batches | lr 0.001000 |  6.38 ms | loss 0.05656 | ppl     1.06
